metric,metric_value,metric_type
abox_axiom_count,129,single_value
abox_axiom_count_incl,1735,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,18,single_value
annotation_property_count_incl,55,single_value
assert_n_subclass_avg,0.6730769230769231,single_value
assert_n_subclass_avg_incl,0.6363636363636364,single_value
assert_n_superclass_avg,1.0769230769230769,single_value
assert_n_superclass_avg_incl,1.0727272727272728,single_value
ax_complexrhs_count,86,single_value
ax_complexrhs_count_incl,88,single_value
axiom_count,1209,single_value
axiom_count_incl,4367,single_value
axiom_length_max,3,single_value
axiom_length_max_incl,3,single_value
axiom_type_count,AnnotationAssertion 491,map_value
axiom_type_count,ClassAssertion 100,map_value
axiom_type_count,DataPropertyAssertion 24,map_value
axiom_type_count,DataPropertyDomain 25,map_value
axiom_type_count,DataPropertyRange 30,map_value
axiom_type_count,Declaration 264,map_value
axiom_type_count,InverseObjectProperties 18,map_value
axiom_type_count,ObjectPropertyAssertion 5,map_value
axiom_type_count,ObjectPropertyDomain 38,map_value
axiom_type_count,ObjectPropertyRange 46,map_value
axiom_type_count,SubClassOf 121,map_value
axiom_type_count,SubDataPropertyOf 28,map_value
axiom_type_count,SubObjectPropertyOf 19,map_value
axiom_type_count_incl,AnnotationAssertion 1615,map_value
axiom_type_count_incl,AnnotationPropertyRangeOf 5,map_value
axiom_type_count_incl,ClassAssertion 420,map_value
axiom_type_count_incl,DataPropertyAssertion 858,map_value
axiom_type_count_incl,DataPropertyDomain 25,map_value
axiom_type_count_incl,DataPropertyRange 31,map_value
axiom_type_count_incl,DatatypeDefinition 44,map_value
axiom_type_count_incl,Declaration 634,map_value
axiom_type_count_incl,InverseObjectProperties 18,map_value
axiom_type_count_incl,ObjectPropertyAssertion 457,map_value
axiom_type_count_incl,ObjectPropertyDomain 38,map_value
axiom_type_count_incl,ObjectPropertyRange 47,map_value
axiom_type_count_incl,SubAnnotationPropertyOf 2,map_value
axiom_type_count_incl,SubClassOf 126,map_value
axiom_type_count_incl,SubDataPropertyOf 28,map_value
axiom_type_count_incl,SubObjectPropertyOf 19,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,ClassAssertion,list_value
axiom_types,DataPropertyAssertion,list_value
axiom_types,DataPropertyDomain,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,ObjectPropertyAssertion,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubDataPropertyOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AnnotationPropertyRangeOf,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyAssertion,list_value
axiom_types_incl,DataPropertyDomain,list_value
axiom_types_incl,DataPropertyRange,list_value
axiom_types_incl,DatatypeDefinition,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,InverseObjectProperties,list_value
axiom_types_incl,ObjectPropertyAssertion,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubAnnotationPropertyOf,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubDataPropertyOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
certain_cycle,true,single_value
certain_cycle_incl,true,single_value
class_count,52,single_value
class_count_incl,55,single_value
class_expression_count,Class 473,map_value
class_expression_count,DataAllValuesFrom 15,map_value
